event_title,medal,country,athlete,athlete_url,gender,participant_type,year,city
10km Sprint,SILVER,Soviet Union,Valery MEDVEDTSEV,https://olympics.com/en/athletes/valery-medvedtsev,Men,Athlete,1988,calgary
10km Sprint,BRONZE,Soviet Union,Sergey Chepikov,,Men,Athlete,1988,calgary
20km Individual,GOLD,German Democratic Republic (Germany),Frank-Peter ROETSCH,https://olympics.com/en/athletes/frank-peter-roetsch,Men,Athlete,1988,calgary
20km Individual,SILVER,Soviet Union,Valery MEDVEDTSEV,https://olympics.com/en/athletes/valery-medvedtsev,Men,Athlete,1988,calgary
20km Individual,BRONZE,Italy,Johann PASSLER,https://olympics.com/en/athletes/johann-passler,Men,Athlete,1988,calgary
4x7.5km Relay,GOLD,Soviet Union,,,Men,GameTeam,1988,calgary
4x7.5km Relay,SILVER,Federal Republic of Germany,,,Men,GameTeam,1988,calgary
4x7.5km Relay,BRONZE,Italy,,,Men,GameTeam,1988,calgary
20km Individual,GOLD,Federal Republic of Germany,Peter ANGERER,https://olympics.com/en/athletes/peter-angerer,Men,Athlete,1984,sarajevo
20km Individual,SILVER,German Democratic Republic (Germany),Frank-Peter ROETSCH,https://olympics.com/en/athletes/frank-peter-roetsch,Men,Athlete,1984,sarajevo
20km Individual,BRONZE,Norway,Eirik KVALFOSS,https://olympics.com/en/athletes/eirik-kvalfoss,Men,Athlete,1984,sarajevo
10km Sprint,GOLD,Norway,Eirik KVALFOSS,https://olympics.com/en/athletes/eirik-kvalfoss,Men,Athlete,1984,sarajevo
10km Sprint,SILVER,Federal Republic of Germany,Peter ANGERER,https://olympics.com/en/athletes/peter-angerer,Men,Athlete,1984,sarajevo
10km Sprint,BRONZE,German Democratic Republic (Germany),Matthias JACOB,https://olympics.com/en/athletes/matthias-jacob,Men,Athlete,1984,sarajevo
4x7.5km Relay,GOLD,Soviet Union,,,Men,GameTeam,1984,sarajevo
4x7.5km Relay,SILVER,Norway,,,Men,GameTeam,1984,sarajevo
4x7.5km Relay,BRONZE,Federal Republic of Germany,,,Men,GameTeam,1984,sarajevo
20km Individual,GOLD,Soviet Union,Anatoly ALYABYEV,https://olympics.com/en/athletes/anatoly-alyabyev,Men,Athlete,1980,lake-placid
20km Individual,SILVER,German Democratic Republic (Germany),Frank ULLRICH,https://olympics.com/en/athletes/frank-ullrich,Men,Athlete,1980,lake-placid
20km Individual,BRONZE,German Democratic Republic (Germany),Eberhard ROSCH,https://olympics.com/en/athletes/eberhard-rosch,Men,Athlete,1980,lake-placid
4x7.5km Relay,GOLD,Soviet Union,,,Men,GameTeam,1980,lake-placid
4x7.5km Relay,SILVER,German Democratic Republic (Germany),,,Men,GameTeam,1980,lake-placid
4x7.5km Relay,BRONZE,Federal Republic of Germany,,,Men,GameTeam,1980,lake-placid
10km Sprint,GOLD,German Democratic Republic (Germany),Frank ULLRICH,https://olympics.com/en/athletes/frank-ullrich,Men,Athlete,1980,lake-placid
10km Sprint,SILVER,Soviet Union,Vladimir ALIKIN,https://olympics.com/en/athletes/vladimir-alikin,Men,Athlete,1980,lake-placid
10km Sprint,BRONZE,Soviet Union,Anatoly ALYABYEV,https://olympics.com/en/athletes/anatoly-alyabyev,Men,Athlete,1980,lake-placid
20km Individual,GOLD,Soviet Union,Nikolay KRUGLOV,https://olympics.com/en/athletes/nikolay-kruglov,Men,Athlete,1976,innsbruck
20km Individual,SILVER,Finland,Heikki IKOLA,https://olympics.com/en/athletes/heikki-ikola,Men,Athlete,1976,innsbruck
20km Individual,BRONZE,Soviet Union,Aleksandr YELIZAROV,https://olympics.com/en/athletes/aleksandr-yelizarov,Men,Athlete,1976,innsbruck
4x7.5km Relay,GOLD,Soviet Union,,,Men,GameTeam,1976,innsbruck
4x7.5km Relay,SILVER,Finland,,,Men,GameTeam,1976,innsbruck
4x7.5km Relay,BRONZE,German Democratic Republic (Germany),,,Men,GameTeam,1976,innsbruck
20km Individual,GOLD,Norway,Magnar SOLBERG,https://olympics.com/en/athletes/magnar-solberg,Men,Athlete,1972,sapporo
20km Individual,SILVER,German Democratic Republic (Germany),H-Joerg KNAUTHE,https://olympics.com/en/athletes/h-joerg-knauthe,Men,Athlete,1972,sapporo
20km Individual,BRONZE,Sweden,Lars-Göran ARWIDSON,https://olympics.com/en/athletes/lars-goran-arwidson,Men,Athlete,1972,sapporo
4x7.5km Relay,GOLD,Soviet Union,,,Men,GameTeam,1972,sapporo
4x7.5km Relay,SILVER,Finland,,,Men,GameTeam,1972,sapporo
4x7.5km Relay,BRONZE,German Democratic Republic (Germany),,,Men,GameTeam,1972,sapporo
4x7.5km Relay,GOLD,Soviet Union,,,Men,GameTeam,1968,grenoble
4x7.5km Relay,SILVER,Norway,,,Men,GameTeam,1968,grenoble
4x7.5km Relay,BRONZE,Sweden,,,Men,GameTeam,1968,grenoble
20km Individual,GOLD,Norway,Magnar SOLBERG,https://olympics.com/en/athletes/magnar-solberg,Men,Athlete,1968,grenoble
20km Individual,SILVER,Soviet Union,Aleksandr TIKHONOV,https://olympics.com/en/athletes/aleksandr-tikhonov,Men,Athlete,1968,grenoble
20km Individual,BRONZE,Soviet Union,Vladimir GUNDARTSEV,https://olympics.com/en/athletes/vladimir-gundartsev,Men,Athlete,1968,grenoble
20km Individual,GOLD,Soviet Union,Vladimir MELANIN,https://olympics.com/en/athletes/vladimir-melanin,Men,Athlete,1964,innsbruck
20km Individual,SILVER,Soviet Union,Aleksandr PRIVALOV,https://olympics.com/en/athletes/aleksandr-privalov,Men,Athlete,1964,innsbruck
20km Individual,BRONZE,Norway,Olav JORDET,https://olympics.com/en/athletes/olav-jordet,Men,Athlete,1964,innsbruck
20km Individual,GOLD,Sweden,Klas LESTANDER,https://olympics.com/en/athletes/klas-lestander,Men,Athlete,1960,squaw-valley
20km Individual,SILVER,Finland,Antti TYRVÄINEN,https://olympics.com/en/athletes/antti-tyrvainen,Men,Athlete,1960,squaw-valley
20km Individual,BRONZE,Soviet Union,Aleksandr PRIVALOV,https://olympics.com/en/athletes/aleksandr-privalov,Men,Athlete,1960,squaw-valley
